,category,skill,type,count
456,IS,Operations Management,hard_skill,7
457,IS,Microservices,hard_skill,6
458,IS,Network Performance Management,hard_skill,19
459,IS,Progress Reporting,hard_skill,2
460,IS,Risk Mitigation,hard_skill,14
461,IS,Server Response,hard_skill,2
462,IS,Institutional Investing,hard_skill,2
463,IS,Relationship Building,hard_skill,24
464,IS,Web Applications,hard_skill,6
465,IS,Mental Health,hard_skill,4
466,IS,Sustainability Strategies,hard_skill,6
467,IS,Environmental Social And Corporate Governance (ESG),hard_skill,7
468,IS,Technology Solutions,hard_skill,23
469,IS,Sustainability Reporting,hard_skill,6
470,IS,Quantitative Data Analysis,hard_skill,2
471,IS,Quantitative Research,hard_skill,1
472,IS,Resilience,hard_skill,35
473,IS,Honeypots (Computing),hard_skill,1
474,IS,Data Transformation,hard_skill,4
475,IS,Data Storage,hard_skill,10
476,IS,Data Integrity,hard_skill,2
477,IS,Continuous Monitoring,hard_skill,10
478,IS,Integrated Service Routers,hard_skill,2
479,IS,GIAC Cyber Threat Intelligence,hard_skill,5
480,IS,Intelligence Gathering,hard_skill,1
481,IS,Information And Communications Technology,hard_skill,25
482,IS,Security Clearance,hard_skill,2
483,IS,Capability Development,hard_skill,1
484,IS,Economic Growth,hard_skill,3
485,IS,Net Zero,hard_skill,2
486,IS,Retirement Planning,hard_skill,2
487,IS,Development Environment,hard_skill,7
488,IS,Network Analysis,hard_skill,7
489,IS,SQL*Plus,hard_skill,2
490,IS,GIAC Certified Enterprise Defender (GCED),hard_skill,2
491,IS,Functional Skills Qualification,hard_skill,2
492,IS,Domain Controllers,hard_skill,2
493,IS,Workplace Diversity,hard_skill,2
494,IS,Aviation,hard_skill,3
495,IS,Software Quality (SQA/SQC),hard_skill,4
496,IS,Anomaly Detection,hard_skill,2
497,IS,Operational Efficiency,hard_skill,17
498,IS,Certified In Risk And Information Systems Control,hard_skill,16
499,IS,Data Capture,hard_skill,1
500,IS,Statement On Standards For Attestation Engagements (SSAE),hard_skill,2
501,IS,Identity And Access Management,hard_skill,31
502,IS,Cisco Certified Network Associate,hard_skill,24
503,IS,Cisco Adaptive Security Appliance (ASA),hard_skill,5
504,IS,Cisco PIX,hard_skill,5
505,IS,Juniper Network Technologies,hard_skill,16
506,IS,Security Requirements Analysis,hard_skill,23
507,IS,Network Operating System (NOS),hard_skill,4
508,IS,Palo Alto Firewalls,hard_skill,5
509,IS,The Open Group Architecture Framework (TOGAF),hard_skill,7
510,IS,Technical Standard,hard_skill,5
511,IS,Open Mindset,hard_skill,4
512,IS,Active Listening,hard_skill,1
513,IS,Influencing Skills,hard_skill,29
514,IS,Business Requirements,hard_skill,19
515,IS,Project Implementation,hard_skill,13
516,IS,Payment Service Provider,hard_skill,1
517,IS,Strategic Thinking,hard_skill,3
518,IS,Security Implementation,hard_skill,6
519,IS,Tenacity,hard_skill,1
520,IS,Customer Relationship Management,hard_skill,7
521,IS,Analytical Thinking,hard_skill,3
522,IS,Quantum Cryptography,hard_skill,2
523,IS,Black-Box Testing,hard_skill,5
524,IS,Data Structures,hard_skill,10
525,IS,Device Management,hard_skill,3
526,IS,Contractor Management,hard_skill,3
527,IS,Business Reporting,hard_skill,2
528,IS,Risk Register,hard_skill,7
529,IS,Control Objectives For Information And Related Technology (COBIT),hard_skill,6
530,IS,Key Risk Indicator,hard_skill,5
531,IS,Information Governance,hard_skill,4
532,IS,Data Management,hard_skill,13
533,IS,Cisco Certified Internetwork Expert Security (CCIE Security),hard_skill,2
534,IS,Proxy Servers,hard_skill,7
535,IS,Auditor's Report,hard_skill,2
536,IS,Cisco Certified Network Professional,hard_skill,29
537,IS,Firmware,hard_skill,8
538,IS,Microsoft Security Development Lifecycle,hard_skill,1
539,IS,Safety Standards,hard_skill,2
540,IS,Chinese Language,hard_skill,1
541,IS,Technology Research,hard_skill,1
542,IS,Vulnerability Discovery,hard_skill,1
543,IS,Compliance Reporting,hard_skill,2
544,IS,Merchandising,hard_skill,1
545,IS,Animations,hard_skill,2
546,IS,Oncology,hard_skill,1
547,IS,Network Access Control,hard_skill,14
548,IS,Organic Growth,hard_skill,1
549,IS,Nessus,hard_skill,4
550,IS,Cardiology,hard_skill,1
551,IS,Pharmaceuticals,hard_skill,2
552,IS,Health Insurance Portability And Accountability Act (HIPAA) Compliance,hard_skill,2
553,IS,Biotechnology,hard_skill,1
554,IS,Metabolism,hard_skill,1
555,IS,Cryptographic Protocols,hard_skill,1
556,IS,Neurology,hard_skill,1
557,IS,Vendor Management,hard_skill,11
558,IS,Risk Management Framework,hard_skill,4
559,IS,Systems Development Life Cycle,hard_skill,13
560,IS,Detail Oriented,hard_skill,1
561,IS,Taking Meeting Minutes,hard_skill,1
562,IS,Organizational Culture Change,hard_skill,1
563,IS,RAID,hard_skill,1
564,IS,Program Management,hard_skill,7
565,IS,Milestones (Project Management),hard_skill,3
566,IS,Tcpdump,hard_skill,3
567,IS,File Transfer Protocol (FTP),hard_skill,3
568,IS,Remote Desktop Protocol (RDP),hard_skill,1
569,IS,Network Protocol Analysis,hard_skill,1
570,IS,Cisco Systems VPN Client,hard_skill,1
571,IS,Joint Ventures,hard_skill,4
572,IS,SMTP (Simple Mail Transfer Protocol),hard_skill,5
573,IS,Telecommunications,hard_skill,22
574,IS,User Experience (UX),hard_skill,5
575,IS,Impact Assessment,hard_skill,1
576,IS,Cyber Hygiene,hard_skill,3
577,IS,Service Assurance,hard_skill,2
578,IS,Software Development Life Cycle,hard_skill,14
579,IS,Application Frameworks,hard_skill,1
580,IS,Business Logic,hard_skill,1
581,IS,Complex Networks,hard_skill,9
582,IS,CISCO Certified Network Professional - Security,hard_skill,3
583,IS,Networking Hardware,hard_skill,12
584,IS,Hyper-V,hard_skill,6
585,IS,Cloud Operations,hard_skill,2
586,IS,Server Hardening,hard_skill,1
587,IS,Anti-Spam Techniques,hard_skill,5
588,IS,Elastic (ELK) Stack,hard_skill,2
589,IS,RabbitMQ,hard_skill,3
590,IS,GraphQL,hard_skill,1
591,IS,Cascading Style Sheets (CSS),hard_skill,2
592,IS,Acceptance Testing,hard_skill,9
593,IS,Cloud Hosting,hard_skill,5
594,IS,Smartphone Operation,hard_skill,1
595,IS,Cloud Security Architecture,hard_skill,5
596,IS,Hardware Design,hard_skill,5
597,IS,Wireless Communications,hard_skill,10
598,IS,Medical Prescription,hard_skill,1
599,IS,Experience Design,hard_skill,7
600,IS,Node.js (Javascript Library),hard_skill,6
601,IS,Rust (Programming Language),hard_skill,2
602,IS,Test Planning,hard_skill,4
603,IS,Tooling,hard_skill,10
604,IS,Compliance Management,hard_skill,3
605,IS,Policy Enforcement,hard_skill,1
606,IS,GIAC Certified Forensics Analyst,hard_skill,7
607,IS,Online Databases,hard_skill,1
608,IS,Corporate Security,hard_skill,4
609,IS,Bilingual (Spanish/English),hard_skill,1
610,IS,Physical Security,hard_skill,8
611,IS,Dashboard,hard_skill,13
612,IS,Customer Data Management,hard_skill,3
613,IS,Visitor Management,hard_skill,1
614,IS,Network Engineering,hard_skill,23
615,IS,System Monitoring,hard_skill,1
616,IS,Systems Engineering,hard_skill,17
617,IS,Firmware Updates,hard_skill,1
618,IS,Software Security,hard_skill,5
619,IS,Version Control,hard_skill,6
620,IS,Renovation,hard_skill,1
621,IS,Report Writing,hard_skill,7
622,IS,Safety Assurance,hard_skill,6
623,IS,Wireless Networks,hard_skill,1
624,IS,Load Balancing,hard_skill,9
625,IS,Access Network,hard_skill,9
626,IS,Wireless Security,hard_skill,6
627,IS,Alibaba Cloud,hard_skill,1
628,IS,Attack Surface Management,hard_skill,9
629,IS,Network Segmentation,hard_skill,3
630,IS,Forensic Toolkits,hard_skill,1
631,IS,EnCase (Digital Intelligence Software),hard_skill,2
632,IS,Local Area Networks,hard_skill,18
633,IS,Authorization (Computing),hard_skill,10
634,IS,Data Integration,hard_skill,4
635,IS,Apache Flink,hard_skill,4
636,IS,Data Modeling,hard_skill,9
637,IS,ClickHouse DBMS,hard_skill,3
638,IS,Data Ingestion,hard_skill,4
639,IS,Apache Hive,hard_skill,5
640,IS,Apache Flume,hard_skill,2
641,IS,Apache Spark,hard_skill,9
642,IS,Big Data,hard_skill,10
643,IS,Grant Applications,hard_skill,1
644,IS,Hardware Security,hard_skill,2
645,IS,Deep Learning,hard_skill,3
646,IS,Research Funding,hard_skill,1
647,IS,Signal Processing,hard_skill,1
